tx_hash,crypto_type,amount,fee,timestamp,sender_wallet,receiver_wallet,fraud
0x0000186c,BTC,5.955059790961784,0.01876401844952107,2024-01-06 00:17:00,wallet_1138,wallet_2058,0
0x0000124c,USDT,4.008037441428298,0.005838272297640189,2024-01-06 18:11:00,wallet_0203,wallet_0543,0
0x000006c3,USDT,1.444924834515014,0.0038372725234403202,2024-01-04 04:47:00,wallet_4780,wallet_0620,0
0x00001286,SOL,2.9763543382043633,0.005974948636544196,2024-01-04 13:14:00,wallet_2245,wallet_1217,0
0x000011a9,USDT,15.746515233638487,0.028170524953962658,2024-01-02 06:59:00,wallet_3527,wallet_2256,0
0x000018c4,BNB,23.248516935165593,0.08391193572089967,2024-01-07 15:43:00,wallet_0629,wallet_4012,0
0x00000240,BNB,55.024031220634214,0.06787710052805927,2024-01-07 19:48:00,wallet_2134,wallet_3132,0
0x00001452,ETH,4.242706749339023,0.0206914371237424,2024-01-07 20:23:00,wallet_1962,wallet_4643,0
0x000018db,SOL,23.042118797307353,0.09995100273119292,2024-01-07 22:31:00,wallet_2580,wallet_2366,0
0x000001b7,SOL,11.520350935752216,0.011876556626389893,2024-01-05 02:28:00,wallet_2291,wallet_1712,0
0x00000abe,USDT,1.710410042657143,0.003320294564831738,2024-01-03 02:14:00,wallet_1493,wallet_0360,0
0x00001d3f,ETH,7.638065932358964,0.03209506055713927,2024-01-04 12:40:00,wallet_1700,wallet_3368,0
0x00001498,USDT,8.28831709166163,0.026421114211725875,2024-01-06 19:57:00,wallet_2159,wallet_2217,0
0x00001615,ETH,10.785381989613882,0.013792252652010952,2024-01-07 06:31:00,wallet_4009,wallet_3968,0
0x00000f9f,BNB,4.810820239112386,0.01415551056559495,2024-01-04 08:24:00,wallet_3164,wallet_4022,0
0x00001791,USDT,1.696337529522205,0.006771020033145326,2024-01-04 03:57:00,wallet_4057,wallet_4181,0
0x00000246,ETH,15.068231546717968,0.016273883903006,2024-01-06 04:24:00,wallet_4999,wallet_2560,0
0x000026ca,USDT,2050.211403044815,11.01770459146756,2024-01-06 11:09:00,wallet_2235,wallet_2039,1
0x00001b8b,BTC,28.661771342875298,0.1416460446448539,2024-01-02 14:35:00,wallet_4036,wallet_1329,0
0x00001fde,ETH,2.760679562612823,0.005443919568130131,2024-01-04 09:35:00,wallet_4220,wallet_4154,0
0x000026a8,USDT,144.40616975063278,1.0183123284847415,2024-01-06 00:15:00,wallet_0637,wallet_4697,1
0x000008c9,BNB,7.849731963034602,0.013682411540415697,2024-01-06 14:51:00,wallet_4015,wallet_0418,0
0x00001220,SOL,64.27754747894919,0.13998922230859132,2024-01-02 12:37:00,wallet_2838,wallet_0460,0
0x0000250d,BNB,16.554557218487282,0.08241022092279539,2024-01-05 23:52:00,wallet_2533,wallet_0434,0
0x00001353,ETH,2.1323662888780475,0.008895875250772843,2024-01-02 06:06:00,wallet_4860,wallet_1009,0
0x000026c0,BNB,236.97377126005165,0.9972886677503486,2024-01-05 09:31:00,wallet_4978,wallet_2635,1
0x000007ab,BTC,6.954892597970807,0.020728424863444183,2024-01-05 14:07:00,wallet_3713,wallet_1971,0
0x00002033,USDT,3.3184977012910397,0.00988295449733766,2024-01-01 08:02:00,wallet_1827,wallet_1949,0
0x000019be,USDT,9.608016588006617,0.014282526225596214,2024-01-02 17:30:00,wallet_1764,wallet_2054,0
0x0000228f,ETH,5.229269150282195,0.009279284311931936,2024-01-01 22:13:00,wallet_1798,wallet_1127,0
0x00000141,BTC,4.848377669596931,0.020161550347566122,2024-01-03 22:17:00,wallet_3290,wallet_4368,0
0x00000a76,ETH,7.373364063110738,0.01614726179572465,2024-01-03 19:33:00,wallet_0954,wallet_3393,0
0x00001211,BNB,3.502089696103832,0.014571293343591139,2024-01-03 20:45:00,wallet_2154,wallet_2826,0
0x00001355,USDT,4.4307721045306785,0.014720366138539782,2024-01-04 17:29:00,wallet_0591,wallet_0316,0
0x00002088,BNB,3.5611989214608184,0.017356895312069163,2024-01-07 20:12:00,wallet_0292,wallet_1112,0
0x00000d09,ETH,1.5596962794463762,0.0067320994487945415,2024-01-06 08:18:00,wallet_2427,wallet_0837,0
0x000015d5,USDT,10.276778544422807,0.02891665407608785,2024-01-04 19:00:00,wallet_3023,wallet_2052,0
0x000000fb,BNB,5.253783159407689,0.018242660683864723,2024-01-01 01:32:00,wallet_0106,wallet_0127,0
0x00000f85,ETH,13.895386916637804,0.04114753293861699,2024-01-06 22:25:00,wallet_1471,wallet_3779,0
0x000019e6,USDT,24.002529066263513,0.05908502520191542,2024-01-07 02:03:00,wallet_1797,wallet_1359,0
0x000015ab,BNB,17.69053581394579,0.05509197000772788,2024-01-02 20:37:00,wallet_1583,wallet_3652,0
0x00000023,ETH,8.709504854292824,0.02180288711430469,2024-01-03 07:37:00,wallet_2923,wallet_2144,0
0x000020aa,BNB,3.171866163942251,0.01460290178155735,2024-01-01 19:58:00,wallet_4084,wallet_3287,0
0x000005e9,SOL,26.66731567021535,0.11731041196098499,2024-01-01 17:18:00,wallet_4610,wallet_2751,0
0x00002465,BTC,20.73486182714484,0.056528337423782306,2024-01-06 23:00:00,wallet_1843,wallet_3216,0
0x00000027,USDT,6.7950672331617765,0.016109029837603973,2024-01-05 14:30:00,wallet_0037,wallet_4908,0
0x000012d3,SOL,34.375189463998296,0.0660692634488408,2024-01-04 07:16:00,wallet_3791,wallet_2281,0
0x00000d89,SOL,4.85787517600845,0.023643447407429723,2024-01-01 23:54:00,wallet_4386,wallet_2475,0
0x000006e0,USDT,4.954320371402142,0.01999779443859931,2024-01-06 18:01:00,wallet_1474,wallet_0758,0
0x00000900,BNB,12.328706853339273,0.04443998609068087,2024-01-05 05:23:00,wallet_1341,wallet_3975,0
0x00000e8b,BNB,3.6653161555377225,0.012457463295172186,2024-01-04 07:46:00,wallet_1013,wallet_4421,0
0x0000205c,ETH,26.058165568821885,0.04999794360927703,2024-01-07 18:32:00,wallet_2719,wallet_1535,0
0x00001381,BNB,4.5312205666396395,0.010211080725995449,2024-01-07 21:05:00,wallet_4324,wallet_1346,0
0x00001fbf,ETH,11.975646920608776,0.028904573148933122,2024-01-04 01:26:00,wallet_0762,wallet_3722,0
0x00000bd8,SOL,29.841780194767296,0.10983239662126697,2024-01-05 09:11:00,wallet_3950,wallet_3226,0
0x00001f02,BTC,7.896391217129873,0.013426265007793316,2024-01-07 13:13:00,wallet_4457,wallet_1096,0
0x00000bdf,SOL,4.934787358691313,0.017573623555908427,2024-01-04 17:28:00,wallet_2887,wallet_3411,0
0x000025b7,BNB,5.242381985768796,0.021960012137948324,2024-01-04 21:45:00,wallet_2803,wallet_4572,0
0x000009f1,BNB,12.630131015159462,0.019802388518661774,2024-01-02 16:56:00,wallet_4255,wallet_3531,0
0x00000a20,BTC,2.1364254454731038,0.0092156379486732,2024-01-02 14:19:00,wallet_4281,wallet_4418,0
